,number,value,datetime_start,datetime_complete,duration,params_alpha_actor,params_alpha_critic,state
87,87,-0.1745197674782824,2024-09-28 20:53:03.253563,2024-09-28 20:53:08.627520,0 days 00:00:05.373957,0.9480950536126276,0.012857504674717012,COMPLETE
88,88,-0.6119271867876046,2024-09-28 20:53:08.628854,2024-09-28 20:53:11.564294,0 days 00:00:02.935440,0.948144576972542,0.1816309651624419,COMPLETE
89,89,-0.35949108296884225,2024-09-28 20:53:11.565328,2024-09-28 20:53:15.915488,0 days 00:00:04.350160,0.9719746573825122,0.03940185580355621,COMPLETE
90,90,-0.5039216959493643,2024-09-28 20:53:15.916456,2024-09-28 20:53:19.815470,0 days 00:00:03.899014,0.2961362410786487,0.10601723036756418,COMPLETE
91,91,-0.426887713189286,2024-09-28 20:53:19.816573,2024-09-28 20:53:23.994115,0 days 00:00:04.177542,0.8589451911293875,0.05875364310745204,COMPLETE
92,92,-0.18428730280586933,2024-09-28 20:53:23.995110,2024-09-28 20:53:29.215328,0 days 00:00:05.220218,0.911426509395487,0.013639054465622202,COMPLETE
93,93,-0.35310757840347284,2024-09-28 20:53:29.216361,2024-09-28 20:53:33.745272,0 days 00:00:04.528911,0.8865756555091521,0.039221202899708686,COMPLETE
94,94,-0.4888480613263699,2024-09-28 20:53:33.746540,2024-09-28 20:53:37.367941,0 days 00:00:03.621401,0.9394038859362058,0.08295530794627015,COMPLETE
95,95,-0.6474246698044521,2024-09-28 20:53:37.368981,2024-09-28 20:53:39.931976,0 days 00:00:02.562995,0.8460530476680285,0.33422487367219866,COMPLETE
96,96,-0.41746810498808434,2024-09-28 20:53:39.933238,2024-09-28 20:53:44.260303,0 days 00:00:04.327065,0.42116423175887546,0.05926145471403739,COMPLETE
97,97,-0.5769222785559958,2024-09-28 20:53:44.261263,2024-09-28 20:53:47.338985,0 days 00:00:03.077722,0.817342143125473,0.14394723510010599,COMPLETE
98,98,-0.17130923190200267,2024-09-28 20:53:47.339927,2024-09-28 20:53:52.672729,0 days 00:00:05.332802,0.5847209800470985,0.01279108938035349,COMPLETE
99,99,-0.34187629208033127,2024-09-28 20:53:52.673676,2024-09-28 20:53:57.080904,0 days 00:00:04.407228,0.5893519853913722,0.038041388723647575,COMPLETE
100,100,-0.5362177841746227,2024-09-28 20:53:57.082085,2024-09-28 20:54:00.595227,0 days 00:00:03.513142,0.5692909215494839,0.10884611543377273,COMPLETE
101,101,-0.17624833154074743,2024-09-28 20:54:00.596306,2024-09-28 20:54:05.964501,0 days 00:00:05.368195,0.6429625646687375,0.013634435505112454,COMPLETE
102,102,-0.29152395248708624,2024-09-28 20:54:05.965547,2024-09-28 20:54:10.650735,0 days 00:00:04.685188,0.6301598826729605,0.02819220107039587,COMPLETE
103,103,-0.42655831561137153,2024-09-28 20:54:10.651788,2024-09-28 20:54:14.851631,0 days 00:00:04.199843,0.504736927149692,0.060442920521702664,COMPLETE
104,104,-0.17058190138499574,2024-09-28 20:54:14.852602,2024-09-28 20:54:20.356492,0 days 00:00:05.503890,0.6465340591346337,0.012746495101738583,COMPLETE
105,105,-0.14603476775399327,2024-09-28 20:54:20.357544,2024-09-28 20:54:25.786233,0 days 00:00:05.428689,0.6742772414481581,0.01044162901488637,COMPLETE
106,106,-0.4930339009543,2024-09-28 20:54:25.787303,2024-09-28 20:54:29.309752,0 days 00:00:03.522449,0.6807916237949494,0.0875910457795496,COMPLETE
107,107,-0.40704719221101726,2024-09-28 20:54:29.310723,2024-09-28 20:54:33.611025,0 days 00:00:04.300302,0.5387969067441598,0.05583408242558365,COMPLETE
108,108,-0.3332581783557048,2024-09-28 20:54:33.612008,2024-09-28 20:54:38.456459,0 days 00:00:04.844451,0.6108442171465139,0.03616545206687861,COMPLETE
109,109,-0.32338761068709165,2024-09-28 20:54:38.457611,2024-09-28 20:54:43.122034,0 days 00:00:04.664423,0.7226652268456194,0.03341908664801745,COMPLETE
110,110,-0.4517009162118486,2024-09-28 20:54:43.122996,2024-09-28 20:54:47.106101,0 days 00:00:03.983105,0.6458319182902592,0.06894771183113521,COMPLETE
111,111,-0.16628281513677381,2024-09-28 20:54:47.107166,2024-09-28 20:54:52.609539,0 days 00:00:05.502373,0.9594715202970563,0.012044594989762078,COMPLETE
112,112,-0.29078565832665554,2024-09-28 20:54:52.610721,2024-09-28 20:54:57.837496,0 days 00:00:05.226775,0.5974552565397447,0.02824590456028597,COMPLETE
113,113,-0.14580041928264859,2024-09-28 20:54:57.838525,2024-09-28 20:55:03.802071,0 days 00:00:05.963546,0.574365881978154,0.010462177705566136,COMPLETE
114,114,-0.4830014600358786,2024-09-28 20:55:03.803468,2024-09-28 20:55:07.649412,0 days 00:00:03.845944,0.8756050887440423,0.08017543427116743,COMPLETE
115,115,-0.40432068677812805,2024-09-28 20:55:07.650792,2024-09-28 20:55:12.400564,0 days 00:00:04.749772,0.6880349436548365,0.05294482818677956,COMPLETE
116,116,-0.5221039294793204,2024-09-28 20:55:12.401558,2024-09-28 20:55:16.148012,0 days 00:00:03.746454,0.7866346370903349,0.1018531388013022,COMPLETE
117,117,-0.3157252825215231,2024-09-28 20:55:16.149120,2024-09-28 20:55:20.675387,0 days 00:00:04.526267,0.910273602879889,0.031523527865940794,COMPLETE
118,118,-0.3968005633057788,2024-09-28 20:55:20.676409,2024-09-28 20:55:24.919420,0 days 00:00:04.243011,0.552558242206576,0.05143938217386202,COMPLETE
119,119,-0.5511607289856932,2024-09-28 20:55:24.920324,2024-09-28 20:55:28.280359,0 days 00:00:03.360035,0.7170158436234724,0.11955120724789636,COMPLETE
120,120,-0.6425974108599322,2024-09-28 20:55:28.281380,2024-09-28 20:55:30.736982,0 days 00:00:02.455602,0.6288440403666826,0.48261279951320546,COMPLETE
121,121,-0.143934432203706,2024-09-28 20:55:30.738113,2024-09-28 20:55:36.359917,0 days 00:00:05.621804,0.5865411542531327,0.010289035145702912,COMPLETE
122,122,-0.1500189892134603,2024-09-28 20:55:36.361361,2024-09-28 20:55:41.813674,0 days 00:00:05.452313,0.5317508682256061,0.01092736632067616,COMPLETE
123,123,-0.14751037837006167,2024-09-28 20:55:41.814752,2024-09-28 20:55:47.242565,0 days 00:00:05.427813,0.5188902835705252,0.010851726795007729,COMPLETE
124,124,-0.31596104433953837,2024-09-28 20:55:47.243510,2024-09-28 20:55:51.928801,0 days 00:00:04.685291,0.44688521010082505,0.03374617710418136,COMPLETE
125,125,-0.45657846150132797,2024-09-28 20:55:51.929823,2024-09-28 20:55:55.874973,0 days 00:00:03.945150,0.522412482161018,0.07314362159996932,COMPLETE
126,126,-0.412269697780511,2024-09-28 20:55:55.875946,2024-09-28 20:55:59.998055,0 days 00:00:04.122109,0.4884323635823169,0.05598503356837961,COMPLETE
127,127,-0.48303406559023204,2024-09-28 20:55:59.999019,2024-09-28 20:56:03.741973,0 days 00:00:03.742954,0.5111553911589999,0.08587111896500607,COMPLETE
128,128,-0.3123622640325674,2024-09-28 20:56:03.742947,2024-09-28 20:56:08.427023,0 days 00:00:04.684076,0.5550527551207213,0.032140577920212327,COMPLETE
129,129,-0.3802686704427214,2024-09-28 20:56:08.428062,2024-09-28 20:56:12.686463,0 days 00:00:04.258401,0.574910292611857,0.04819987757617265,COMPLETE
130,130,-0.14892525074299146,2024-09-28 20:56:12.687525,2024-09-28 20:56:18.067112,0 days 00:00:05.379587,0.5400012666719928,0.01077122547701926,COMPLETE
131,131,-0.15946085471625823,2024-09-28 20:56:18.068217,2024-09-28 20:56:23.469899,0 days 00:00:05.401682,0.5353272506326753,0.011782499893117415,COMPLETE
132,132,-0.1389313905524626,2024-09-28 20:56:23.470854,2024-09-28 20:56:28.930810,0 days 00:00:05.459956,0.4678741718721685,0.010159904642529628,COMPLETE
133,133,-0.29478598049049826,2024-09-28 20:56:28.931800,2024-09-28 20:56:33.771661,0 days 00:00:04.839861,0.4604245959602077,0.029390383272850283,COMPLETE
134,134,-0.4435896663919444,2024-09-28 20:56:33.772746,2024-09-28 20:56:37.886464,0 days 00:00:04.113718,0.5301174903163335,0.06671998734536694,COMPLETE
135,135,-0.37472666426058954,2024-09-28 20:56:37.887414,2024-09-28 20:56:42.406977,0 days 00:00:04.519563,0.42847848734580124,0.04678196706212956,COMPLETE
136,136,-0.1683144337569335,2024-09-28 20:56:42.408421,2024-09-28 20:56:48.025838,0 days 00:00:05.617417,0.48938248594961375,0.01283950317340976,COMPLETE
137,137,-0.13894824023788996,2024-09-28 20:56:48.026781,2024-09-28 20:56:53.818969,0 days 00:00:05.792188,0.38339352231768037,0.010308759335311245,COMPLETE
138,138,-0.4985015302680522,2024-09-28 20:56:53.820054,2024-09-28 20:56:57.855143,0 days 00:00:04.035089,0.38640271638248996,0.09654825828625378,COMPLETE
139,139,-0.32872415168714564,2024-09-28 20:56:57.856109,2024-09-28 20:57:02.867013,0 days 00:00:05.010904,0.3814206077575756,0.03680901498669691,COMPLETE
140,140,-0.452261845515067,2024-09-28 20:57:02.868038,2024-09-28 20:57:06.969902,0 days 00:00:04.101864,0.5042726525382497,0.07014387518509914,COMPLETE
