,number,value,datetime_start,datetime_complete,duration,params_alpha_actor,params_alpha_critic,state
69,69,-8.065111585218968,2024-09-28 19:16:01.338029,2024-09-28 19:16:03.597687,0 days 00:00:02.259658,0.8667870844535164,0.8066016627265244,COMPLETE
70,70,-9.290065949221875,2024-09-28 19:16:03.598606,2024-09-28 19:16:06.066687,0 days 00:00:02.468081,0.3763673466747622,0.8533868412003827,COMPLETE
71,71,-8.038105628879965,2024-09-28 19:16:06.067596,2024-09-28 19:16:08.350040,0 days 00:00:02.282444,0.9237770750913399,0.7518898297149564,COMPLETE
72,72,-7.917663298169675,2024-09-28 19:16:08.351027,2024-09-28 19:16:10.637814,0 days 00:00:02.286787,0.9611671462392881,0.7893842157363762,COMPLETE
73,73,-7.929662883964907,2024-09-28 19:16:10.638718,2024-09-28 19:16:12.949076,0 days 00:00:02.310358,0.9549277215006928,0.810874047739683,COMPLETE
74,74,-7.780425566046268,2024-09-28 19:16:12.950189,2024-09-28 19:16:15.191046,0 days 00:00:02.240857,0.9562796039425707,0.824426395025604,COMPLETE
75,75,-7.950317478690441,2024-09-28 19:16:15.191982,2024-09-28 19:16:17.527591,0 days 00:00:02.335609,0.9536468571826358,0.8299124618359882,COMPLETE
76,76,-7.982126356892928,2024-09-28 19:16:17.528504,2024-09-28 19:16:19.887718,0 days 00:00:02.359214,0.9667688653828099,0.8992644129191752,COMPLETE
77,77,-8.035184157345826,2024-09-28 19:16:19.888775,2024-09-28 19:16:22.238814,0 days 00:00:02.350039,0.9083833764725233,0.8693931950452131,COMPLETE
78,78,-8.024800977356273,2024-09-28 19:16:22.239755,2024-09-28 19:16:24.438406,0 days 00:00:02.198651,0.9396035071618125,0.9245222246348647,COMPLETE
79,79,-8.00670527698717,2024-09-28 19:16:24.439377,2024-09-28 19:16:26.702365,0 days 00:00:02.262988,0.8208654745968819,0.7306192434284301,COMPLETE
80,80,-7.922063204609093,2024-09-28 19:16:26.703227,2024-09-28 19:16:28.994323,0 days 00:00:02.291096,0.9764360947086957,0.7667886514601264,COMPLETE
81,81,-7.8655870396268295,2024-09-28 19:16:28.995458,2024-09-28 19:16:31.277284,0 days 00:00:02.281826,0.9994545080423975,0.7699152584828398,COMPLETE
82,82,-7.988390126748536,2024-09-28 19:16:31.278151,2024-09-28 19:16:33.502353,0 days 00:00:02.224202,0.9810314429600875,0.7501849212021757,COMPLETE
83,83,-7.976830003783676,2024-09-28 19:16:33.503238,2024-09-28 19:16:35.738224,0 days 00:00:02.234986,0.9994576221771161,0.7712527251565907,COMPLETE
84,84,-8.00699348256581,2024-09-28 19:16:35.739179,2024-09-28 19:16:38.000852,0 days 00:00:02.261673,0.9147150209602845,0.7867160641969885,COMPLETE
85,85,-7.868912781561958,2024-09-28 19:16:38.001890,2024-09-28 19:16:40.188641,0 days 00:00:02.186751,0.9683017967870267,0.8460157708759103,COMPLETE
86,86,-8.061842568367712,2024-09-28 19:16:40.189594,2024-09-28 19:16:42.480262,0 days 00:00:02.290668,0.8850706283957406,0.8816050894557105,COMPLETE
87,87,-8.204274220939185,2024-09-28 19:16:42.481196,2024-09-28 19:16:44.910743,0 days 00:00:02.429547,0.9385167840369135,0.9702576484497754,COMPLETE
88,88,-8.040990750932368,2024-09-28 19:16:44.911649,2024-09-28 19:16:47.145266,0 days 00:00:02.233617,0.9180821136194951,0.8388856028225224,COMPLETE
